"Condition" "Batch" "Effect" "Strain" "Nuclear" "Mito" "Replicate" "WORMLENGTH" "n" "PHENO" "Status"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 1 806.095139176506 14 796.179724064655 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 2 880.539786957931 11 870.62437184608 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 3 844.492066782677 6 834.576651670826 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 4 857.693024664748 11 847.777609552897 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 5 822.672676622939 8 812.757261511088 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 6 825.832199411691 6 815.91678429984 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 7 830.030043097734 9 820.114627985883 "Matched"
"20C" 2012021 9.91541511185105 "QG4287" "ECA2602" "ECA2602" 8 843.937482618013 8 834.022067506162 "Matched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 1 876.015774358055 19 866.100359246204 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 2 872.61578367624 18 862.700368564389 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 3 870.676838721444 15 860.761423609593 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 4 859.913301880382 21 849.997886768531 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 5 759.825822858153 16 749.910407746302 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 6 790.473785068777 13 780.558369956926 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 7 730.231979091956 20 720.316563980105 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4494" "ECA1229" "ECA2546" 8 841.357840151294 24 831.442425039443 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 7 870.424932234626 35 860.509517122775 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 6 915.484088514083 13 905.568673402232 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 7 872.391753908071 36 862.47633879622 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 6 833.852982549276 11 823.937567437425 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 7 723.548812415105 13 713.633397303254 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 2 727.143800564304 17 717.228385452453 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 1 960.326309334415 15 950.410894222564 "Matched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 2 919.761875493518 15 909.846460381667 "Matched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 1 853.222867073601 18 843.30745196175 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 2 781.071366034777 14 771.155950922926 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 3 830.715635980738 11 820.800220868887 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 4 846.037483895356 10 836.122068783505 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 5 743.602960538872 11 733.687545427021 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 6 731.714880311358 13 721.799465199507 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 7 836.74828974216 7 826.832874630309 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4496" "ECA1229" "ECA1298" 8 767.231572471379 10 757.316157359528 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4295" "ECA2602" "ECA1229" 1 895.120073403749 16 885.204658291898 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4295" "ECA2602" "ECA1229" 2 875.348540197275 13 865.433125085424 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4295" "ECA2602" "ECA1229" 3 876.466035083867 8 866.550619972016 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4295" "ECA2602" "ECA1229" 4 872.928465300254 15 863.013050188403 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4295" "ECA2602" "ECA1229" 5 867.26784689877 12 857.352431786919 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4295" "ECA2602" "ECA1229" 6 897.111448492614 13 887.196033380763 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 6 667.69827278971 12 657.782857677859 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 1 845.353494236511 16 835.43807912466 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 2 838.684023500162 23 828.768608388311 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 3 832.245866477045 28 822.330451365194 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 4 833.419344422816 23 823.503929310965 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 5 853.443666376565 16 843.528251264714 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 6 865.380557523814 22 855.465142411963 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 7 838.069554306605 22 828.154139194754 "Matched"
"20C" 2012021 9.91541511185105 "QG4499" "ECA1229" "ECA1229" 8 819.885768544427 15 809.970353432576 "Matched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 1 839.142778542399 45 829.227363430548 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 2 828.778619813058 44 818.863204701207 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 3 728.350702046726 58 718.435286934875 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 4 830.932068934946 31 821.016653823095 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 5 828.369499190266 42 818.454084078415 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 1 890.743617412908 13 880.828202301057 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 2 918.087325819668 15 908.171910707817 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 3 903.139816244831 16 893.22440113298 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 4 899.631616831063 26 889.716201719212 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 5 873.04794077912 17 863.132525667269 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 2 771.97199311383 12 762.056578001979 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 3 827.775487511545 7 817.860072399694 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 4 868.583144894925 13 858.667729783074 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 5 633.280482612098 5 623.365067500247 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 6 806.011128594919 12 796.095713483068 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 7 675.263007568587 6 665.347592456736 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 5 839.602008216934 6 829.686593105083 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 3 958.977044345271 11 949.06162923342 "Matched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 4 937.04117396567 15 927.125758853819 "Matched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 5 933.145486777315 15 923.230071665464 "Matched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 1 934.070030618052 20 924.154615506201 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 2 922.958291595156 19 913.042876483305 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 3 878.117291719312 15 868.201876607461 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 4 921.806464524158 16 911.891049412307 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 5 916.489466214946 14 906.574051103095 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 6 894.12595725184 24 884.210542139989 "Mismatched"
