"Condition" "Strain" "Nuclear" "Mito" "Replicate" "Batch" "WORMLENGTH" "Status"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1112.78682044821 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1166.93793310851 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1116.10113043616 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1224.89209592708 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1155.43038753497 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1103.43066892618 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1232.34378100463 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1166.37628082401 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1171.91865877388 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "A10" 2012021 1225.21411075757 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1221.80894615058 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1173.41418983016 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1228.91014779058 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1102.44793168497 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1224.34362162067 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1194.05060264154 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1195.67191202391 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1165.99332582844 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1225.39727316613 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1216.44039058385 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "B10" 2012021 1226.51886282926 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1216.93451798598 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1212.50480750638 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1142.82069711419 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1230.83406414533 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1189.00906472718 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1132.24999879525 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "C10" 2012021 1216.90023961543 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1228.3395497765 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1172.3466497765 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1223.73935876511 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1216.69879972688 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1192.69434921807 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1190.49545220612 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1237.44498997377 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1231.26326839877 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1218.10489824569 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1220.41899697058 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1191.60447340365 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1227.54866721764 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "D10" 2012021 1185.12773714443 "Matched"
